model_key,model_name,volume,low_file,high_file,l1,mse,psnr,ssim
yz_3d,Y-Z 3-Adjacent U-Net,Test_000,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_000_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_000_HIGH.bin,0.017327909231185913,0.0020421771824359895,26.899065805566394,0.8212783646583557
yz_3d,Y-Z 3-Adjacent U-Net,Test_001,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_001_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_001_HIGH.bin,0.021572034406661986,0.0030262320160865785,25.190977784135132,0.7936615467071533
yz_3d,Y-Z 3-Adjacent U-Net,Test_002,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_002_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_002_HIGH.bin,0.023892743492126466,0.004024482226371765,23.95289986276035,0.7822923564910889
yz_3d,Y-Z 3-Adjacent U-Net,Test_003,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_003_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_003_HIGH.bin,0.017816058444976808,0.0018506590276956558,27.32673589907845,0.8135601806640625
yz_3d,Y-Z 3-Adjacent U-Net,Test_004,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_004_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_004_HIGH.bin,0.016133231782913208,0.0011048799842596055,29.56684893928675,0.8216436982154847
yz_3d,Y-Z 3-Adjacent U-Net,Test_005,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_005_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_005_HIGH.bin,0.014780749845504761,0.0008268519669771194,30.82572236130177,0.8336635828018188
yz_3d,Y-Z 3-Adjacent U-Net,Test_006,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_006_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_006_HIGH.bin,0.02111637291908264,0.004233408105373383,23.733098630241113,0.7977195858955384
yz_3d,Y-Z 3-Adjacent U-Net,Test_007,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_007_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_007_HIGH.bin,0.015537033939361572,0.0010666302263736725,29.719861133577247,0.8303628492355347
yz_3d,Y-Z 3-Adjacent U-Net,Test_008,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_008_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_008_HIGH.bin,0.016573573541641237,0.0012233967334032059,29.12432683448202,0.8202794361114502
yz_3d,Y-Z 3-Adjacent U-Net,Test_009,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_009_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_009_HIGH.bin,0.016887146854400636,0.0018284325599670411,27.379210535782267,0.8301938128471374
