epoch,total_loss,noise_mse,x0_l1,mean_timestep,learning_rate,epoch_seconds
1,0.09420546430197786,0.09420546430197786,0.07398288334527303,98.64278846153846,0.0002,111.26571989059448
2,0.014711596649095344,0.014711596649095344,0.03269506154174451,99.18461538461538,0.0002,111.29530644416809
3,0.01371569839719506,0.01371569839719506,0.0284608567187276,99.7983173076923,0.0002,111.74908018112183
4,0.013900174419946919,0.013900174419946919,0.027213256119956404,99.26538461538462,0.0002,105.07081747055054
5,0.013619638561906938,0.013619638561906938,0.025727137393774822,100.00048076923076,0.0002,103.61142110824585
6,0.014708666853514912,0.014708666853514912,0.02463824190602351,99.40961538461538,0.0002,103.53061652183533
7,0.01309991209355548,0.01309991209355548,0.02390844251114266,99.44471153846153,0.0002,103.57892298698425
8,0.013042302153875286,0.013042302153875286,0.023856592510576147,99.36370192307692,0.0002,103.5847282409668
9,0.013499711590380825,0.013499711590380825,0.02436182138402588,100.94615384615385,0.0002,103.46919441223145
10,0.012830275380397674,0.012830275380397674,0.023139456253892812,99.68557692307692,0.0002,103.1689920425415
11,0.012668670878687968,0.012668670878687968,0.02217515040068135,98.76610576923076,0.0002,103.66289138793945
12,0.013524817092240063,0.013524817092240063,0.022318352268149072,98.10913461538462,0.0002,103.1702048778534
13,0.012009140283596655,0.012009140283596655,0.021846707642767936,100.02572115384615,0.0002,103.1030945777893
14,0.014371702275646105,0.014371702275646105,0.022403309500189678,98.30360576923077,0.0002,103.15460777282715
15,0.013654896147874332,0.013654896147874332,0.02204483011670303,100.77067307692307,0.0002,103.18049740791321
16,0.012383491390332542,0.012383491390332542,0.021128957617195108,99.67716346153846,0.0002,103.2283947467804
17,0.011421369833246549,0.011421369833246549,0.021101392135964347,99.85745192307692,0.0002,103.25905203819275
18,0.012157829884976169,0.012157829884976169,0.02137932198081846,99.9625,0.0002,103.05818557739258
19,0.012656837949470383,0.012656837949470383,0.02095980292047338,99.45817307692307,0.0002,103.27116751670837
20,0.012225948317630424,0.012225948317630424,0.021095681022360133,100.17932692307693,0.0002,103.23564076423645
21,0.012576386143662324,0.012576386143662324,0.02100040855898092,98.80048076923077,0.0002,103.34386777877808
22,0.011965837866455331,0.011965837866455331,0.020778336701914667,100.64350961538462,0.0002,103.31341648101807
23,0.011636522558805713,0.011636522558805713,0.02017656251644859,98.3298076923077,0.0002,103.36091780662537
24,0.011821288091099492,0.011821288091099492,0.02041961056037018,100.30985576923077,0.0002,103.41618227958679
25,0.012108446386691167,0.012108446386691167,0.02039529100226131,100.57259615384615,0.0002,103.62894415855408
26,0.012956149859526424,0.012956149859526424,0.02015903823955271,98.06634615384615,0.0002,103.11937856674194
27,0.013685928122472782,0.013685928122472782,0.02015903416703133,96.95216346153846,0.0002,103.06784272193909
28,0.011305763792324796,0.011305763792324796,0.019578461191178155,99.34927884615385,0.0002,103.2157289981842
29,0.012284767324501025,0.012284767324501025,0.02066092667205689,98.87596153846154,0.0002,103.25099611282349
30,0.012262946008775963,0.012262946008775963,0.019403423738325588,98.06995192307693,0.0002,103.11741328239441
31,0.012037311660536103,0.012037311660536103,0.019729051599950673,98.23798076923077,0.0002,103.22861385345459
32,0.012037780148102684,0.012037780148102684,0.019691124243455795,99.89663461538461,0.0002,103.35093474388123
33,0.012147615202474508,0.012147615202474508,0.019532674778243886,97.90985576923077,0.0002,103.20707535743713
34,0.012798410408784268,0.012798410408784268,0.02022452234769634,100.19302884615385,0.0002,103.26076221466064
35,0.012181047845031292,0.012181047845031292,0.019473462966002095,100.53701923076923,0.0002,103.17085933685303
36,0.013417979405655317,0.013417979405655317,0.019555109050214434,98.86514423076923,0.0002,103.3773627281189
37,0.012260494697497612,0.012260494697497612,0.01963984120531957,98.90336538461538,0.0002,103.21013164520264
38,0.010653248425709395,0.010653248425709395,0.01903357386069659,99.50841346153847,0.0002,103.53112030029297
39,0.012247608901368669,0.012247608901368669,0.01988946127888854,101.3875,0.0002,103.2699511051178
40,0.011271790520189685,0.011271790520189685,0.019387059450561468,100.77427884615385,0.0002,103.43889808654785
41,0.011768691208950398,0.011768691208950398,0.019347536545291616,99.37764423076923,0.0002,105.49937129020691
42,0.011245289192619077,0.011245289192619077,0.01921143394474012,99.365625,0.0002,106.01955652236938
43,0.01221690530960936,0.01221690530960936,0.01936912483271534,98.2985576923077,0.0002,103.6118574142456
44,0.011306405335727295,0.011306405335727295,0.019439436555750526,100.51971153846154,0.0002,103.50057888031006
45,0.013104399603963219,0.013104399603963219,0.019012700362901133,99.09350961538462,0.0002,102.91779088973999
46,0.01227736214620843,0.01227736214620843,0.019134103394865702,98.98677884615384,0.0002,103.58989667892456
47,0.011888482654190879,0.011888482654190879,0.019358637895157488,100.6298076923077,0.0002,103.17383074760437
48,0.012112820579948046,0.012112820579948046,0.018659927646736973,97.81586538461538,0.0002,103.27029919624329
49,0.012352459761793328,0.012352459761793328,0.01885711605271074,98.28581730769231,0.0002,103.16965889930725
50,0.01037627514587117,0.01037627514587117,0.018932331235667402,100.16923076923077,0.0002,103.13840818405151
