epoch,train_total_loss,train_l1_loss,train_ssim_loss,train_edge_loss,epoch_time_seconds,peak_gpu_memory_gb,samples_this_epoch
1,0.12069040721712204,0.05003794792036598,0.3486386745021894,0.15936108119069384,247.70469899999443,0.5610322952270508,4160
2,0.0631374225880091,0.020806004346993107,0.20248045118955466,0.08077128818258644,253.31388609998976,0.3705878257751465,4160
3,0.061596036838510865,0.020287547586485745,0.19679191571015578,0.08036369914188982,226.8769134999893,0.3705878257751465,4160
4,0.060796225651238975,0.02001152237196668,0.1943550406740262,0.0791715124120506,217.25076019999688,0.3705878257751465,4160
5,0.06051313468756584,0.01997668703373235,0.19340985646614664,0.07847481731755229,227.67830959998537,0.3705878257751465,4160
6,0.05981281084509996,0.019719761133623812,0.1918337811644261,0.07642221400657526,226.9351363000169,0.36271190643310547,4160
7,0.05967690871598629,0.019735165182142876,0.19153477262992127,0.07555337900009293,219.7983412000176,0.36159420013427734,4160
8,0.059361115219787916,0.019615902970186793,0.19091599480463908,0.07446783705829428,254.09765150002204,0.36159420013427734,4160
9,0.059436904581693505,0.019719152743569935,0.19107229228203115,0.07419038592622831,224.81201170000713,0.36159420013427734,4160
10,0.059106014597301304,0.019585191268617144,0.19013599420969304,0.07369181365491106,266.42229529999895,0.36159420013427734,4160
11,0.059143370461578554,0.019602118880273058,0.19030812749495873,0.07360261291122208,227.00514019999537,0.36159420013427734,4160
12,0.05902028131083801,0.019566566563354662,0.18988464726851537,0.07346754680889157,230.0995680000051,0.36159420013427734,4160
13,0.05869291522181951,0.019422970957552587,0.18897807804437786,0.07301219198136376,234.71489540001494,0.36159420013427734,4160
14,0.058773641882894134,0.019483364180016977,0.1891641771564117,0.07302450716065673,256.488861299993,0.36159420013427734,4160
15,0.058653854979918554,0.019450162505157867,0.18879863482255202,0.07279013614528455,237.35119879999547,0.36159420013427734,4160
16,0.05882709410328132,0.019496059587870082,0.18942526063093773,0.07294799762133222,244.96388009999646,0.36159420013427734,4160
17,0.058440659825618455,0.01934533268929674,0.1882167256795443,0.07255581045666566,243.9210167999845,0.36159420013427734,4160
18,0.058435590450580305,0.01936232851137622,0.1881030376140888,0.0726135241942337,228.93021690001478,0.36159420013427734,4160
19,0.05852671153127001,0.01938690308553095,0.18854109243704723,0.07247660455222314,226.3784340999846,0.36159420013427734,4160
20,0.058321303200836366,0.01932237403503118,0.1878133121591348,0.07232978341814418,236.61605109999073,0.36159420013427734,4160
21,0.058478394888627994,0.019405230251140895,0.18816252648830414,0.07262227960074177,242.2340939999849,0.36159420013427734,4160
22,0.058233230188488964,0.0192729696416511,0.18761826902627946,0.07218497130446709,238.0429606999969,0.36159420013427734,4160
23,0.05823755879671528,0.019298663335995607,0.18748645908557451,0.07231202022387431,227.55806009998196,0.36159420013427734,4160
24,0.058192977710412104,0.019266541527870756,0.18739236558859165,0.07227925007016614,225.39332100001047,0.36159420013427734,4160
25,0.05802309812548069,0.01918036036659032,0.18698749989271166,0.07199345188788497,228.5013044999796,0.36159420013427734,4160
26,0.0582833748167524,0.01931416975477567,0.18762461199210242,0.07238533018300167,224.82519279999542,0.36159420013427734,4160
27,0.05818631851042693,0.01926941958327706,0.1873978846348249,0.07218147337866518,221.73271489999024,0.36159420013427734,4160
28,0.05808508868257587,0.019236686895601453,0.18698736876249314,0.07221933647703667,232.28719339999952,0.36159420013427734,4160
29,0.058095681215994635,0.019233721353185292,0.18706561957414336,0.07218951638787985,223.3868991000054,0.36159420013427734,4160
30,0.05801898390771105,0.01921673688070419,0.18685728838810556,0.0719580991838414,249.06958460001624,0.36159420013427734,4160
31,0.05807994395637742,0.019199215704933385,0.18719075723336295,0.07202340870952377,238.76578139999765,0.36159420013427734,4160
32,0.05785051473201468,0.0191248030652507,0.18635299824751342,0.07192552308193767,250.02244359999895,0.36159420013427734,4160
33,0.05809242892293976,0.019276724460248192,0.18693739359195416,0.07211242644116282,262.5398591000121,0.36159420013427734,4160
34,0.057913651804511364,0.019161241345752318,0.1865280840259332,0.07195165706798434,226.8678805999807,0.36159420013427734,4160
35,0.05792704073425669,0.019173007402927256,0.18654087747518833,0.07197759354200502,243.12417039999855,0.36159420013427734,4160
36,0.05793276813167792,0.019186415775822332,0.1864954519730348,0.07203186162962363,230.3986149999837,0.36159420013427734,4160
37,0.05818210735630531,0.01930341339097,0.18719342626058139,0.0723103228956461,239.51491719999467,0.36159420013427734,4160
38,0.057830535118969593,0.019131858213446463,0.1862534578029926,0.07187542317864987,221.55467450001743,0.36159420013427734,4160
39,0.05775881780741307,0.01910390175986462,0.18606386402478586,0.0717331318757855,235.4156127999886,0.36159420013427734,4160
40,0.05781760812522128,0.019137805295535007,0.1861692500802187,0.07187293803749177,234.57029249999323,0.36159420013427734,4160
41,0.057845646601456864,0.01913283972714383,0.18633837482103935,0.07184983253335724,230.33543340000324,0.36159420013427734,4160
42,0.05776185013640386,0.019113320765945203,0.1859271369301356,0.07197097620855157,235.28246459999355,0.36159420013427734,4160
