epoch,train_total_loss,train_l1_loss,train_ssim_loss,train_edge_loss,epoch_time_seconds,peak_gpu_memory_gb,samples_this_epoch
1,0.08311301115900278,0.031249843261992705,0.262075049831317,0.08823110519263608,262.17280840000603,1.5743861198425293,4160
2,0.0630488455725404,0.020786089090128933,0.2030443045955438,0.0788972167369838,249.4355496999924,1.4817681312561035,4160
3,0.06089523259120492,0.02009921484411909,0.196618292423395,0.07502123191236304,248.21178620000137,1.4817681312561035,4160
4,0.060326357844930435,0.019884482885782536,0.1950430425313803,0.07398610721127345,275.985680999991,1.4817681312561035,4160
5,0.0600528102583037,0.019810249969864694,0.1939914107322693,0.07387352531345992,233.72830129999784,1.4817681312561035,4160
6,0.059340295969293674,0.019566276259362126,0.19153806865215303,0.0733628829368032,246.21613630000502,1.4696831703186035,4160
7,0.05934113442467956,0.019587968282688124,0.1914624584408907,0.07337064198576487,239.26770709999255,1.4696831703186035,4160
8,0.05909407072199079,0.01947361762957791,0.19082442728372723,0.07297652244854433,241.81171280000126,1.4696831703186035,4160
9,0.059049609081389814,0.019488837969346116,0.19053107385451978,0.07301207239954517,281.2329415999993,1.4696831703186035,4160
10,0.05882000726862596,0.01940991276015456,0.18974272964092403,0.0728452196273093,255.8098886999942,1.4696831703186035,4160
11,0.05893217726395681,0.019422762699496863,0.1902584676559155,0.07284549406657999,253.18952819998958,1.4696831703186035,4160
12,0.05869533031319197,0.01936112423785604,0.18933903792729745,0.07274735158739182,238.53667260002112,1.4696831703186035,4160
13,0.05851349053331293,0.019306251018021543,0.18872585858290014,0.07253942518280103,235.2509600999765,1.4696831703186035,4160
14,0.058582753258255814,0.019350814445015904,0.18886889459995124,0.0726340363948391,235.76755180000328,1.4696831703186035,4160
15,0.058399851663181415,0.01926821168834487,0.18838820789869015,0.07234461213676975,254.34383830000297,1.4696831703186035,4160
16,0.05839527243605027,0.01927838913487414,0.1883198570746642,0.0723642810032918,240.73508499999298,1.4696831703186035,4160
17,0.058299531114216034,0.01919642085961711,0.1882600825566512,0.07210019402779066,269.5484824000159,1.4696831703186035,4160
18,0.058284432519800394,0.019225745184275396,0.18800392391589973,0.07225625585907927,245.86593600001652,1.4696831703186035,4160
19,0.05818216840808209,0.019201707082370727,0.18768842942439593,0.07203286945676575,316.29057489999104,1.4696831703186035,4160
20,0.05818513872531744,0.019198008245215396,0.18774177924944804,0.07198176631847254,301.0555588999996,1.4696831703186035,4160
21,0.0583712593294107,0.019306584782540225,0.1881266623735428,0.07231316945443933,262.7451482999895,1.4696831703186035,4160
22,0.058168380098560686,0.01919091062512822,0.18774867665309172,0.07185006794304802,254.03027889999794,1.4696831703186035,4160
23,0.058052514536449544,0.0191798378355228,0.1871211125300481,0.0720240496385556,242.83514159999322,1.4696831703186035,4160
24,0.058082334654262435,0.01918284845753358,0.1873232778448325,0.07189684531723078,246.48340409999946,1.4696831703186035,4160
25,0.057835430931299926,0.019062024571646293,0.18664488196372986,0.07163036727847961,250.52390729999752,1.4696831703186035,4160
26,0.05803361026426921,0.01917557361392448,0.18705004373422038,0.07200699510912482,259.34384090002277,1.4696831703186035,4160
27,0.058049305743322926,0.019170290976762774,0.18723755375697063,0.07182590717879626,244.44085859999177,1.4696831703186035,4160
28,0.057915984309063515,0.019128087436995254,0.1867433139911065,0.0717765969510835,244.74985449999804,1.4696831703186035,4160
29,0.05793430588136499,0.01912422086327122,0.18685279947060807,0.07176790675148369,244.79233440000098,1.4696831703186035,4160
30,0.05779412375906339,0.019089744995849638,0.1863719286826941,0.07156916006396596,243.6210912000097,1.4696831703186035,4160
31,0.057897955351150956,0.019100752628694935,0.18680524791662512,0.07166378362677418,243.4815074999933,1.4696831703186035,4160
32,0.05771474994432468,0.01905620090591793,0.18608188846936594,0.07159030984800596,255.0029905999836,1.4696831703186035,4160
33,0.057886021290547575,0.019149251928767905,0.18653948146563312,0.0717364792067271,248.38744410002255,1.4696831703186035,4160
34,0.057769355901445336,0.019089955978023893,0.18621993901637884,0.07162398301208249,250.53784330000053,1.4696831703186035,4160
35,0.057692932846167916,0.019052293257286343,0.1859783783555031,0.07160651282622264,245.13881669999682,1.4696831703186035,4160
36,0.05778938335581468,0.019106435206217263,0.18622097201072255,0.07170683888431925,241.4118262999982,1.4696831703186035,4160
37,0.05779213931841346,0.01909785309734826,0.1863468335225032,0.07154274997659602,284.0721671000065,1.4696831703186035,4160
38,0.05757445151416155,0.018995982952989064,0.18567086377969155,0.07143090172455861,272.09648279999965,1.4696831703186035,4160
39,0.05756757791655568,0.01901560243075857,0.18560923567185036,0.07134808409385957,252.39727330001188,1.4696831703186035,4160
40,0.057606939964282976,0.019026193995243655,0.18573111971983544,0.07142379687239345,252.29766089998884,1.4696831703186035,4160
41,0.057670555450022226,0.019037778089897563,0.18601365433289455,0.07141379400228079,252.30789899997762,1.4696831703186035,4160
42,0.0575387165380212,0.0189914711088372,0.18543574443230262,0.07157537285238505,245.26908999998705,1.4696831703186035,4160
43,0.05752991690801887,0.018989671043191967,0.18548791328301797,0.0713956389647837,253.64975399998366,1.4696831703186035,4160
44,0.05744200566640267,0.018942793926152474,0.1852850513962599,0.07125039085602532,246.8396174000227,1.4696831703186035,4160
45,0.05750526722807151,0.018989885010971475,0.1854159298997659,0.07129161089228897,246.37300099999993,1.4696831703186035,4160
46,0.05752585787469378,0.018985977125927235,0.18546207936910483,0.07143257415065399,244.44897739999578,1.4696831703186035,4160
47,0.05744649128128703,0.018952546754063895,0.18527834151799863,0.07124039823046098,242.08202489998075,1.4696831703186035,4160
48,0.057439208353081576,0.018967131294238455,0.18511430529447703,0.07139354960706372,243.13911669998197,1.4696831703186035,4160
49,0.057427953778264616,0.018954554004952887,0.18519562230660366,0.07120640866744977,247.16465019999305,1.4696831703186035,4160
50,0.057333619928417304,0.01892182604373934,0.18484029368712354,0.0712028233620983,262.7192919999943,1.4696831703186035,4160
