epoch,generator_total,generator_adversarial,generator_l1,discriminator_total,discriminator_real,discriminator_fake,generator_learning_rate,discriminator_learning_rate,epoch_seconds
1,4.787863025183861,1.1505475581551974,0.036373154583494535,0.627362894813548,0.64114446495391,0.6135813252904112,0.0002,0.0002,211.84951066970825
2,4.856585681438446,2.195327599938565,0.02661258069296869,0.56835136535995,0.644795058571946,0.4919076715414681,0.0002,0.0002,195.85826754570007
3,6.192032655729697,3.43666273679835,0.027553699045585325,0.5134527689055876,0.6406524892120483,0.38625304686933165,0.0002,0.0002,206.78035807609558
4,6.826791906356812,4.000753174106089,0.028260387178474608,0.46353975223552457,0.5875696594424378,0.339509843978142,0.0002,0.0002,261.745671749115
5,7.308136728176704,4.505171013969812,0.02802965698781638,0.47664835887347423,0.6416760893675703,0.3116206283171804,0.0002,0.0002,215.8225028514862
6,7.369089595744243,4.603635381566038,0.02765454201815793,0.4681282087438918,0.5918247158159836,0.3444317003301806,0.0002,0.0002,191.46532702445984
7,7.474363577193939,4.719084550765826,0.027552790149079204,0.45935747072939404,0.6403500322589957,0.2783649090996645,0.0002,0.0002,198.42610931396484
8,7.606205287461098,4.8931267579596565,0.027130785207443227,0.4420159317938284,0.6087788813528558,0.2752529816981136,0.0002,0.0002,195.9878113269806
9,7.665505819767714,4.989392249747806,0.026761135555660495,0.4224246300121562,0.5820113444864202,0.2628379137811958,0.0002,0.0002,200.31456398963928
10,7.564881276855102,4.9091402311460115,0.0265574103480993,0.4261740230402718,0.5788463315379222,0.2735017131741415,0.0002,0.0002,204.11608695983887
11,7.607145302456159,4.996663697996812,0.026104815854117846,0.41041074036956193,0.5734055012937415,0.24741597852518785,0.0002,0.0002,195.40861248970032
12,7.5958784059836315,4.965041249340328,0.02630837133082633,0.39387832757396163,0.572183942050743,0.21557271361640548,0.0002,0.0002,204.91608119010925
13,7.87330650882079,5.258506493040365,0.026148000007602746,0.4245323731608271,0.6103039474518042,0.23876079962973643,0.0002,0.0002,207.25200843811035
14,8.071302984425655,5.440874062715179,0.026304289009063862,0.387333968655358,0.5364485310204045,0.23821940733618896,0.0002,0.0002,185.2988395690918
15,8.02615202401693,5.340389794140804,0.026857622134355972,0.39839257895312785,0.5701010352109301,0.2266841223856027,0.0002,0.0002,187.4157361984253
16,7.855677888943599,5.2131604420289825,0.026425174218065176,0.38850919956196933,0.5426105879463567,0.23440781174983227,0.0002,0.0002,202.30878567695618
17,7.820789940769856,5.194175751600414,0.02626614172387725,0.37550769321187105,0.5419289456292842,0.2090864406561801,0.0002,0.0002,207.21285963058472
18,7.884581348758477,5.257559582377927,0.026270217625782466,0.3582821900303814,0.5118693230306149,0.20469505627940784,0.0002,0.0002,246.68049478530884
19,7.874886150428882,5.243559752342005,0.026313263827110998,0.37967162279228084,0.5612986127972557,0.19804463391912727,0.0002,0.0002,199.44214272499084
