split,quality,file_name,raw_min,raw_max,raw_mean,raw_std,raw_median,raw_p90,raw_p95,raw_p99,raw_p99_5,raw_p99_9,zero_ratio,norm_min,norm_max,norm_mean,norm_std,norm_median,norm_p95,norm_p99,norm_p99_9
Train,LOW,Train_000_LOW.bin,0.0,1689.0,87.4756851196289,52.46487045288086,79.0,139.0,166.0,270.0,344.0,563.0,0.01360361328125,0.0,1.0,0.05179153382778168,0.031062675639986992,0.046773239970207214,0.09828300774097443,0.15985789895057678,0.3333333432674408
Train,HIGH,Train_000_HIGH.bin,0.0,24813.0,195.77696228027344,409.47216796875,100.0,297.0,712.0,2126.0,2821.0,4750.0,0.01360361328125,0.0,1.0,0.007890095002949238,0.01650232821702957,0.004030145704746246,0.0286946352571249,0.08568089455366135,0.1914319097995758
Train,LOW,Train_001_LOW.bin,0.0,1177.0,80.69808197021484,39.79648971557617,75.0,129.0,149.0,203.0,232.0,323.0,0.013603564453125,0.0,1.0,0.0685625746846199,0.033811792731285095,0.06372132897377014,0.12659303843975067,0.17247238755226135,0.27442651987075806
Train,HIGH,Train_001_HIGH.bin,0.0,10878.0,129.17349243164062,196.974365234375,89.0,191.0,349.0,997.0,1345.0,2392.0,0.013603564453125,0.0,1.0,0.01187476608902216,0.018107585608959198,0.008181651122868061,0.03208310529589653,0.09165287762880325,0.21989336609840393
Train,LOW,Train_002_LOW.bin,0.0,1500.0,89.81251525878906,46.054264068603516,84.0,141.0,162.0,228.0,282.0,462.0,0.01360361328125,0.0,1.0,0.05987507477402687,0.030702834948897362,0.0560000017285347,0.1080000028014183,0.15199999511241913,0.30799999833106995
Train,HIGH,Train_002_HIGH.bin,0.0,8628.0,141.55787658691406,211.2136688232422,93.0,241.0,410.0,1036.0,1420.0,2602.0,0.013603662109375,0.0,1.0,0.01640678010880947,0.024480018764734268,0.010778859257698059,0.04751970246434212,0.12007417529821396,0.30157625675201416
Train,LOW,Train_003_LOW.bin,0.0,1671.0,81.36029052734375,42.246273040771484,76.0,128.0,148.0,213.0,266.0,414.0,0.013603662109375,0.0,1.0,0.04868944734334946,0.02528204210102558,0.04548174887895584,0.08856971561908722,0.12746858596801758,0.24775584042072296
Train,HIGH,Train_003_HIGH.bin,0.0,16458.0,154.7418670654297,251.23419189453125,94.0,260.0,488.0,1350.0,1787.0,2848.0,0.013603662109375,0.0,1.0,0.009402230381965637,0.015265168622136116,0.005711507983505726,0.029651233926415443,0.08202698081731796,0.1730465441942215
Train,LOW,Train_004_LOW.bin,0.0,1223.0,79.09558868408203,37.152587890625,75.0,125.0,143.0,185.0,208.0,297.0,0.013603759765625,0.0,1.0,0.06467337161302567,0.03037821128964424,0.06132461130619049,0.11692558974027634,0.1512673795223236,0.24284546077251434
Train,HIGH,Train_004_HIGH.bin,0.0,7276.0,131.15042114257812,188.21205139160156,90.0,213.0,346.0,939.0,1306.0,2367.0,0.013603515625,0.0,1.0,0.018025048077106476,0.02586751990020275,0.012369433417916298,0.04755360260605812,0.12905442714691162,0.32531610131263733
Train,LOW,Train_005_LOW.bin,0.0,1977.0,86.24479675292969,43.39615249633789,81.0,136.0,157.0,219.0,265.0,409.0,0.013603759765625,0.0,1.0,0.043624140322208405,0.021950511261820793,0.040971167385578156,0.07941325008869171,0.11077389866113663,0.20687910914421082
Train,HIGH,Train_005_HIGH.bin,0.0,15631.0,146.46533203125,219.09280395507812,94.0,251.0,446.0,1153.0,1535.0,2539.0,0.013603662109375,0.0,1.0,0.00937019195407629,0.014016550965607166,0.006013690959662199,0.02853304333984852,0.07376367598772049,0.16243362426757812
Train,LOW,Train_006_LOW.bin,0.0,4115.0,82.94425964355469,39.945945739746094,78.0,131.0,150.0,198.0,227.0,332.0,0.01360361328125,0.0,1.0,0.02015657350420952,0.00970740057528019,0.018955042585730553,0.03645200654864311,0.04811664670705795,0.08068043738603592
Train,HIGH,Train_006_HIGH.bin,0.0,22418.0,122.92662811279297,161.56561279296875,87.0,205.0,338.0,816.0,1088.0,1850.0,0.01360361328125,0.0,1.0,0.005483400076627731,0.007206964306533337,0.0038808099925518036,0.015077169984579086,0.036399323493242264,0.08252297341823578
Train,LOW,Train_007_LOW.bin,0.0,1894.0,86.2718276977539,45.42308044433594,81.0,137.0,158.0,217.0,258.0,448.0,0.013603515625,0.0,1.0,0.04555007442831993,0.023982632905244827,0.04276663064956665,0.08342132717370987,0.11457233130931854,0.2365364283323288
