split,low_file,high_file,low_raw_min,low_raw_max,low_raw_mean,low_raw_p99,high_raw_min,high_raw_max,high_raw_mean,high_raw_p99,max_ratio_high_over_low,mean_ratio_high_over_low,p99_ratio_high_over_low,low_norm_mean,high_norm_mean,raw_pearson_correlation,norm_pearson_correlation,normalized_mae,normalized_rmse
Train,Train_000_LOW.bin,Train_000_HIGH.bin,0.0,1689.0,87.4756851196289,270.0,0.0,24813.0,195.77696228027344,2126.0,14.69094138534819,2.238072922665933,7.874074073782442,0.05179153382778168,0.007890095002949238,0.5642408379751036,0.5642408383192297,0.04428713023662567,0.05089046061038971
Train,Train_001_LOW.bin,Train_001_HIGH.bin,0.0,1177.0,80.69808197021484,203.0,0.0,10878.0,129.17349243164062,997.0,9.242141036455038,1.60070089972288,4.9113300490191465,0.0685625746846199,0.01187476608902216,0.3160382329872922,0.316038232019213,0.0574655719101429,0.06558144837617874
Train,Train_002_LOW.bin,Train_002_HIGH.bin,0.0,1500.0,89.81251525878906,228.0,0.0,8628.0,141.55787658691406,1036.0,5.751999999961654,1.576148671076214,4.543859648923514,0.05987507477402687,0.01640678010880947,0.4339256641945441,0.4339256638600096,0.04550911486148834,0.052681028842926025
Train,Train_003_LOW.bin,Train_003_HIGH.bin,0.0,1671.0,81.36029052734375,213.0,0.0,16458.0,154.7418670654297,1350.0,9.849192100479659,1.901933560505224,6.338028168716524,0.04868944734334946,0.009402230381965637,0.47456857506450983,0.4745685757241543,0.03986694663763046,0.04525037482380867
Train,Train_004_LOW.bin,Train_004_HIGH.bin,0.0,1223.0,79.09558868408203,185.0,0.0,7276.0,131.15042114257812,939.0,5.949304987686433,1.6581256086205838,5.075675675401315,0.06467337161302567,0.018025048077106476,0.30169179882879765,0.30169179933680135,0.04942420497536659,0.05741624906659126
Train,Train_005_LOW.bin,Train_005_HIGH.bin,0.0,1977.0,86.24479675292969,219.0,0.0,15631.0,146.46533203125,1153.0,7.906423874517419,1.6982512282318314,5.264840182407998,0.043624140322208405,0.00937019195407629,0.30786749187753604,0.3078674920582855,0.03540856018662453,0.04075170308351517
Train,Train_006_LOW.bin,Train_006_HIGH.bin,0.0,4115.0,82.94425964355469,198.0,0.0,22418.0,122.92662811279297,816.0,5.447873633036579,1.4820390057882058,4.121212121003979,0.02015657350420952,0.005483400076627731,0.3137418182472,0.3137418180281478,0.015334715135395527,0.01782427914440632
Train,Train_007_LOW.bin,Train_007_HIGH.bin,0.0,1894.0,86.2718276977539,217.0,0.0,35725.0,146.49221801757812,1127.0,18.8621964096153,1.698030769833937,5.19354838685744,0.04555007442831993,0.0041005476377904415,0.46221083616944914,0.46221083600781315,0.04147977754473686,0.046778831630945206
Train,Train_008_LOW.bin,Train_008_HIGH.bin,0.0,12529.0,86.10042572021484,223.0,0.0,48670.0,148.00013732910156,1144.0,3.8845877564020395,1.7189245706268852,5.13004484281928,0.0068720923736691475,0.003040888113901019,0.5011572834817366,0.5011572820209043,0.004689219873398542,0.005937044974416494
Train,Train_009_LOW.bin,Train_009_HIGH.bin,0.0,2228.0,84.53775024414062,223.0,0.0,23848.0,141.94888305664062,1262.0,10.703770197438493,1.6791182948435281,5.659192824858332,0.03794323280453682,0.005952239502221346,0.33581204585584284,0.33581204578939694,0.03259747102856636,0.03741281479597092
Train,Train_010_LOW.bin,Train_010_HIGH.bin,0.0,4372.0,79.84536743164062,182.0,0.0,21981.0,125.75556182861328,867.0,5.027676120757027,1.5749888297593302,4.76373626347452,0.018262917175889015,0.005721095018088818,0.25295462926604906,0.2529546290268271,0.013574040494859219,0.015923045575618744
Train,Train_011_LOW.bin,Train_011_HIGH.bin,0.0,3686.0,83.96284484863281,201.0,0.0,20497.0,148.26048278808594,1266.0,5.560770482893216,1.7657867957869968,6.298507462373208,0.022778864949941635,0.007233275566250086,0.3476479811662659,0.3476479809616602,0.017249129712581635,0.020435798913240433
Train,Train_012_LOW.bin,Train_012_HIGH.bin,0.0,1837.0,86.3405532836914,204.0,0.0,12055.0,129.34371948242188,843.0,6.562329885647457,1.498064519490085,4.132352940973904,0.04700085520744324,0.010729477740824223,0.31420256623190285,0.31420256645668476,0.03707515075802803,0.04240856692194939
Train,Train_013_LOW.bin,Train_013_HIGH.bin,0.0,1170.0,85.2562484741211,196.0,0.0,9947.0,127.68627166748047,871.0,8.501709401636738,1.497676404225808,4.44387755079368,0.07286853343248367,0.012836656533181667,0.21126237622627497,0.21126237651926516,0.06098300218582153,0.06909176707267761
Train,Train_014_LOW.bin,Train_014_HIGH.bin,0.0,2568.0,85.5604019165039,254.0,0.0,24140.0,177.66505432128906,1938.0,9.400311526443145,2.076486906570434,7.629921259542129,0.03331787511706352,0.007359785493463278,0.3431757132196814,0.3431757132390378,0.02779792807996273,0.03348268195986748
Train,Train_015_LOW.bin,Train_015_HIGH.bin,0.0,1870.0,80.4875717163086,182.0,0.0,10122.0,117.19869995117188,722.0,5.412834224569985,1.4561092779602853,3.967032966814998,0.0430414043366909,0.011578602716326714,0.17778369113601328,0.1777836912227224,0.03306152671575546,0.03832738474011421
Train,Train_016_LOW.bin,Train_016_HIGH.bin,0.0,4183.0,85.19591522216797,219.0,0.0,26382.0,166.4333953857422,1761.0,6.306956729604813,1.9535372668066704,8.041095890043785,0.02036718837916851,0.006308597046881914,0.42907970901305964,0.429079709192179,0.016035092994570732,0.019092557951807976
Train,Train_017_LOW.bin,Train_017_HIGH.bin,0.0,1395.0,81.65049743652344,189.0,0.0,12185.0,116.53202819824219,758.0,8.734767025026992,1.4272053672981506,4.01058201036981,0.05853084847331047,0.009563568979501724,0.1986501263554571,0.1986501265656586,0.049721553921699524,0.05641168728470802
Train,Train_018_LOW.bin,Train_018_HIGH.bin,0.0,2305.0,81.69788360595703,188.0,0.0,25124.0,127.86820983886719,858.0,10.899783080213016,1.5651349114494355,4.563829786991286,0.035443808883428574,0.0050894771702587605,0.2398292120295824,0.23982921183205902,0.030519714578986168,0.034284740686416626
