epoch,train_l1_loss,epoch_time_seconds,peak_gpu_memory_gb,samples_this_epoch
1,0.025738472686722302,264.28680170000007,0.8178262710571289,4160
2,0.020963794426419415,263.76012099999934,0.5996060371398926,4160
3,0.02055293435517412,247.73174990000552,0.5996060371398926,4160
4,0.020137273762016916,266.1942618999892,0.5996060371398926,4160
5,0.020121541742880184,241.11775900000066,0.5996060371398926,4160
6,0.0198710603836494,233.49113790001138,0.5963101387023926,4160
7,0.019861957875008766,349.2779958000028,0.5963101387023926,4160
8,0.019641138317708213,248.3892957999924,0.5963101387023926,4160
9,0.019614120409823955,249.46651679999195,0.5963101387023926,4160
10,0.019450869862563336,248.45906570000807,0.5963101387023926,4160
11,0.01939322511271502,297.71836909999547,0.5963101387023926,4160
12,0.019400309341458175,260.4399634000001,0.5963101387023926,4160
13,0.01925609574223367,262.60116720000224,0.5963101387023926,4160
14,0.019328234099353164,247.54608780000126,0.5963101387023926,4160
15,0.019230237612142587,274.65317119999963,0.5963101387023926,4160
16,0.019203631904047842,244.78398720000405,0.5963101387023926,4160
17,0.019150178772039138,249.43904219999968,0.5963101387023926,4160
18,0.019217814376147894,236.85751190000155,0.5963101387023926,4160
19,0.019123599133812466,240.61004250000406,0.5963101387023926,4160
20,0.019154834587915014,255.60983829999168,0.5963101387023926,4160
21,0.01927441990432831,252.0928436999966,0.5963101387023926,4160
22,0.019102204863268597,259.7531992000004,0.5963101387023926,4160
23,0.019152810737992135,240.64030850000563,0.5963101387023926,4160
24,0.019125645009514233,260.9585040999955,0.5963101387023926,4160
25,0.019012749143159733,239.895288300002,0.5963101387023926,4160
26,0.019115716885202208,260.94691130000865,0.5963101387023926,4160
27,0.019122400879859926,255.01008209999418,0.5963101387023926,4160
28,0.019077072638230257,241.80867520000902,0.5963101387023926,4160
29,0.019067884868798922,250.7565620999958,0.5963101387023926,4160
30,0.019025889907677014,257.95003199999337,0.5963101387023926,4160
31,0.0190446739944701,252.50895489999675,0.5963101387023926,4160
32,0.018989997179820563,256.36059860000387,0.5963101387023926,4160
33,0.01910587724011678,255.78898719999415,0.5963101387023926,4160
34,0.01904408110735508,250.33698500000173,0.5963101387023926,4160
35,0.018992482249338468,265.9902684000117,0.5963101387023926,4160
36,0.019048943218345254,275.5305585999886,0.5963101387023926,4160
37,0.019008918210434225,250.77722210000502,0.5963101387023926,4160
38,0.018926503477044977,247.09987659999751,0.5963101387023926,4160
39,0.01896542713690836,244.13548830000218,0.5963101387023926,4160
40,0.018961725862195286,329.50591509998776,0.5963101387023926,4160
41,0.018945944416694917,326.08299239999906,0.5963101387023926,4160
42,0.018962558416219858,278.0473955000052,0.5963101387023926,4160
43,0.018917438516823145,296.2144096999982,0.5963101387023926,4160
44,0.0188926220459577,256.0118683000037,0.5963101387023926,4160
45,0.018936940769736583,260.294939600004,0.5963101387023926,4160
46,0.018902542168059602,262.4356770000013,0.5963101387023926,4160
47,0.018874258051912948,252.50826440000674,0.5963101387023926,4160
48,0.018918362573290673,251.5210350999987,0.5963101387023926,4160
49,0.018877587531908203,258.2067071999918,0.5963101387023926,4160
50,0.018845320098961775,247.92968609998934,0.5963101387023926,4160
