epoch,total_loss,l1,mse,psnr,ssim,learning_rate,epoch_seconds
1,0.032868321588298735,0.032868321588298735,0.0077652970129677736,24.559129455456368,0.6375461772431243,0.0001,341.8954236507416
2,0.0206607403099322,0.0206607403099322,0.0029745269275176373,26.209691157707802,0.7831351178769882,0.0001,354.57107949256897
3,0.02014664904698013,0.02014664904698013,0.002859307093156251,26.386881377146793,0.7932123651298193,0.0001,347.1056079864502
4,0.019914570714060505,0.019914570714060505,0.002761350651137316,26.585721869652087,0.7962693330760185,0.0001,336.20179748535156
5,0.019946816527786165,0.019946816527786165,0.002831921690645126,26.503676036688,0.797034392448572,0.0001,440.27288913726807
6,0.019619502920585757,0.019619502920585757,0.0027286044320275183,26.619052290916443,0.8012309595369376,0.0001,310.68692111968994
7,0.019693966136457255,0.019693966136457255,0.0027906889559324976,26.587244908626264,0.8007158889793433,0.0001,307.3024752140045
8,0.01950080841421508,0.01950080841421508,0.002714260458910408,26.65211578790958,0.8028623923086203,0.0001,304.0408055782318
9,0.019571279611689252,0.019571279611689252,0.002730400617012772,26.654242159770085,0.8022286046296359,0.0001,306.6863408088684
10,0.0194391532917507,0.0194391532917507,0.0027125304754568227,26.694982049098382,0.8042592536084927,0.0001,338.3029696941376
11,0.01941454563415251,0.01941454563415251,0.0027180354459023174,26.644244201366718,0.8046366268625627,0.0001,312.78697061538696
12,0.01942259195403984,0.01942259195403984,0.002715485417418397,26.695773396125208,0.8036764124838206,0.0001,465.05810356140137
13,0.019213911635765375,0.019213911635765375,0.002653163910592691,26.79071786220257,0.8064407041439643,0.0001,306.62043595314026
14,0.01930850157693315,0.01930850157693315,0.0026749928046438773,26.712580193006076,0.8058019935511626,0.0001,296.1552402973175
15,0.019230368534604518,0.019230368534604518,0.002621708461027503,26.778586180393514,0.8055749079355827,0.0001,338.75116777420044
16,0.01922277686580156,0.01922277686580156,0.0026451063936782215,26.76977248100134,0.8064508035778999,0.0001,294.64943194389343
17,0.019115701936579382,0.019115701936579382,0.0025846727799104813,26.855744292185857,0.8073022841834105,0.0001,302.5966691970825
18,0.01916283979617919,0.01916283979617919,0.0026499994806027435,26.834989445026103,0.8063543646094891,0.0001,294.55579137802124
19,0.01912599537575331,0.01912599537575331,0.0026150965437409467,26.85402779212365,0.8074909582160986,0.0001,298.34955620765686
20,0.019136130166813158,0.019136130166813158,0.0026080155311949335,26.884098487633924,0.8065947804886561,0.0001,295.5831730365753
21,0.019232851214026316,0.019232851214026316,0.002668340389601116,26.828640629695013,0.8063328508574229,0.0001,343.7556240558624
22,0.019119999289082795,0.019119999289082795,0.002599124206664363,26.88129177368604,0.8075768389954017,0.0001,337.34559440612793
23,0.019047178579673456,0.019047178579673456,0.002602012251232876,26.874063662382273,0.8077024489641189,0.0001,308.2353596687317
24,0.019024422553439554,0.019024422553439554,0.0025930319600984846,26.923481479057898,0.8083725493114728,0.0001,353.0569839477539
25,0.01891813398285124,0.01891813398285124,0.002506428368304534,27.018518744982206,0.8083659152643612,0.0001,301.696076631546
26,0.01908482966514734,0.01908482966514734,0.002597707952316761,26.871762246351977,0.8082004692692023,0.0001,318.3295783996582
27,0.018978628174115258,0.018978628174115258,0.0025375441570828954,26.972100741129655,0.8084436563345102,0.0001,307.55395555496216
28,0.018986459174014342,0.018986459174014342,0.0025619698393991434,26.955296696149386,0.809028652883493,0.0001,292.45024156570435
29,0.018973768454116698,0.018973768454116698,0.0025627617162871713,26.95564852311061,0.8089056335962735,0.0001,296.2374076843262
30,0.01895445230990075,0.01895445230990075,0.0025180551082974907,27.006384347035336,0.8091574939970787,0.0001,293.2745521068573
31,0.01892414797151175,0.01892414797151175,0.002512083550839004,27.031437626251808,0.8089755697892262,0.0001,297.2727575302124
32,0.018866738977018172,0.018866738977018172,0.002525105867019962,27.03883971250974,0.8099809778997531,0.0001,295.1900100708008
33,0.018946537958422247,0.018946537958422247,0.002548463231617531,26.986584590948546,0.8095370857188335,0.0001,295.87646079063416
34,0.018928743777975727,0.018928743777975727,0.002544211911915157,26.992572753246012,0.8095530270383908,0.0001,295.5202753543854
35,0.018922468590048643,0.018922468590048643,0.0025584062890489944,26.989739159437327,0.8095922406476278,0.0001,298.61081647872925
36,0.018862877391242924,0.018862877391242924,0.002549866782143139,27.001318021921012,0.8100583167603382,0.0001,294.2692720890045
37,0.018904383753677114,0.018904383753677114,0.002524161767248118,27.04093391895294,0.8097959002623192,0.0001,291.99860858917236
38,0.01881568230993043,0.01881568230993043,0.0024990288315166254,27.081297859778772,0.8102125914050983,0.0001,293.1744215488434
39,0.01881909223380857,0.01881909223380857,0.002497332373492939,27.059644823807936,0.8105098508871519,0.0001,290.489075422287
40,0.018823788607887065,0.018823788607887065,0.0025087426008562593,27.065668197778557,0.8102598539338662,0.0001,290.5049796104431
41,0.018788771154000784,0.018788771154000784,0.002491375433657175,27.093888700925387,0.8104858535413558,0.0001,290.4516062736511
42,0.018806707583224544,0.018806707583224544,0.0025213333569039467,27.037421936255235,0.810701673076703,0.0001,310.35077261924744
43,0.01874844858315415,0.01874844858315415,0.0024724872416230096,27.11095595909999,0.8108942925356901,0.0001,291.354124546051
44,0.018706387209777648,0.018706387209777648,0.0024515692822975467,27.13664503464332,0.8110644053954345,0.0001,289.6029496192932
45,0.018735348262215176,0.018735348262215176,0.002479780002557583,27.108933096665602,0.8109668864080539,0.0001,294.3819365501404
46,0.018781321788600716,0.018781321788600716,0.002513511431663154,27.045471398647013,0.8108379578934266,0.0001,305.15213322639465
47,0.01872548558570158,0.01872548558570158,0.0024578017820134006,27.126019483346205,0.8109401154403503,0.0001,291.29152393341064
48,0.018705268965389293,0.018705268965389293,0.0024861606967953357,27.10418868615077,0.811355870274397,0.0001,295.9399697780609
49,0.018701881274151115,0.018701881274151115,0.0024837714166026743,27.120586050473726,0.8112788924230979,0.0001,289.06910133361816
50,0.018655604287050664,0.018655604287050664,0.002451516223719899,27.14539842605591,0.8116660352509756,0.0001,304.9910445213318
