model_key,model_name,volume,low_file,high_file,l1,mse,psnr,ssim
fd,Fully Dense U-Net,Test_000,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_000_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_000_HIGH.bin,0.017147350072860716,0.0020209324181079866,26.944482094602158,0.8232171607017517
fd,Fully Dense U-Net,Test_001,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_001_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_001_HIGH.bin,0.021550057649612427,0.003022237712144852,25.196713795030618,0.7938023924827575
fd,Fully Dense U-Net,Test_002,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_002_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_002_HIGH.bin,0.02379336223602295,0.0038719663739204407,24.12068422976302,0.7809326124191284
fd,Fully Dense U-Net,Test_003,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_003_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_003_HIGH.bin,0.017762527704238893,0.001872401374578476,27.276010487176205,0.8141911268234253
fd,Fully Dense U-Net,Test_004,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_004_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_004_HIGH.bin,0.016117422580718993,0.0011221306771039962,29.499565646123735,0.8218937754631043
fd,Fully Dense U-Net,Test_005,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_005_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_005_HIGH.bin,0.01467495379447937,0.0008301658317446709,30.80835145433671,0.8346429133415222
fd,Fully Dense U-Net,Test_006,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_006_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_006_HIGH.bin,0.021131702089309694,0.004265131574869156,23.700675667571304,0.7977743315696716
fd,Fully Dense U-Net,Test_007,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_007_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_007_HIGH.bin,0.015485916185379029,0.0010710609406232835,29.70185818221858,0.8308888435363769
fd,Fully Dense U-Net,Test_008,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_008_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_008_HIGH.bin,0.016431164264678954,0.0012173155546188355,29.14596828618068,0.8219226527214051
fd,Fully Dense U-Net,Test_009,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_009_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_009_HIGH.bin,0.01686714696884155,0.0018089221417903901,27.425801253007606,0.8306191849708557
fd,Fully Dense U-Net,Test_010,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_010_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_010_HIGH.bin,0.01606124997138977,0.0011059302121400833,29.562722775871325,0.8267467880249023
fd,Fully Dense U-Net,Test_011,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_011_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_011_HIGH.bin,0.016773294067382812,0.0013166941255331039,28.805151020477652,0.8204104042053223
fd,Fully Dense U-Net,Test_012,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_012_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_012_HIGH.bin,0.017025072622299194,0.001458998441696167,28.359451719606383,0.81134357213974
fd,Fully Dense U-Net,Test_013,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_013_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_013_HIGH.bin,0.02336952018737793,0.0037110592365264894,24.305021133172747,0.7730883240699769
fd,Fully Dense U-Net,Test_014,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_014_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_014_HIGH.bin,0.017026183700561522,0.0015848829329013824,28.000028113469227,0.8145715689659119
fd,Fully Dense U-Net,Test_015,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_015_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_015_HIGH.bin,0.021265425443649292,0.004613518381118774,23.359677447390183,0.8020826768875122
fd,Fully Dense U-Net,Test_016,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_016_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_016_HIGH.bin,0.01906780118942261,0.0023473736912012102,26.29417767193968,0.7935136413574219
fd,Fully Dense U-Net,Test_017,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_017_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_017_HIGH.bin,0.026146305084228515,0.008959938883781432,20.476949526734778,0.7800693416595459
fd,Fully Dense U-Net,Test_018,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_018_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_018_HIGH.bin,0.022578870582580568,0.0048202800154685975,23.169277323751373,0.8018103575706482
fd,Fully Dense U-Net,Test_019,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\3d_Test\LOW\Test_019_LOW.bin,D:\University\4-1.5\BOA_lab\Week2_260706_0712\PAM_Image_Enhancement\data\norm_Test\HIGH\Test_019_HIGH.bin,0.018039327144622804,0.0017998738169670105,27.44757940738824,0.8101697206497193
