epoch,total_loss,final_l1,final_ssim,final_boundary,coarse_l1,coarse_ssim,alpha,beta,gamma,learning_rate,epoch_seconds
26,0.1638679253653838,0.01922353047411889,0.8113018016402538,0.008640760073187545,0.019176444773956275,0.8110788622154639,0.09866602718830109,0.10599526762962341,0.10028675943613052,9.903490064471525e-05,229.65749382972717
27,0.16373751683590504,0.019175294004918006,0.8114445974620489,0.008625555878881221,0.019135751054944614,0.8112109611813839,0.09865842014551163,0.1059567779302597,0.10030326247215271,9.309334281139112e-05,225.3741397857666
28,0.16339902638529355,0.01911985493408373,0.8118314741895749,0.008625281629457067,0.019075644824904606,0.8116089114202902,0.09865791350603104,0.10607253015041351,0.10030276328325272,8.719877511435618e-05,250.5904724597931
29,0.16354380619640535,0.019138704895829924,0.8116614542901516,0.008620576501841871,0.0190975553696402,0.81144941758651,0.09866845607757568,0.10612567514181137,0.10022331774234772,8.13744607193388e-05,248.72670674324036
30,0.16318606889018647,0.019107332760289024,0.8120768823302709,0.008610706830558439,0.01906205240207223,0.8118681405599301,0.0986439660191536,0.1061449870467186,0.10022181272506714,7.564338553438004e-05,237.87398171424866
31,0.16320889029078758,0.019064612177988657,0.8120384508027481,0.008608710052570901,0.019022892305376723,0.8118325969347587,0.09864532202482224,0.10618520528078079,0.10019934177398682,7.002816749495564e-05,257.8413043022156
32,0.1630397461498013,0.01906576693022194,0.812239628055921,0.008609392009496402,0.019027045072736934,0.8120386296739945,0.09858231246471405,0.10620293766260147,0.10013104230165482,6.455096730131812e-05,273.148086309433
33,0.1632561677780289,0.01913701609009877,0.8120017435115118,0.008626565994479909,0.019101873084974404,0.8118089898274495,0.09859715402126312,0.10622939467430115,0.10013572871685028,5.923340096033705e-05,277.4774959087372
34,0.16287650488890135,0.019048298673274424,0.812428039083114,0.008611513954103709,0.019007455457288484,0.8122377494779917,0.09861613810062408,0.10627257823944092,0.10008544474840164,5.409645447699531e-05,451.6854944229126
35,0.1628597259808045,0.019050441164738283,0.8124480473880584,0.008609240588087302,0.019012275441155697,0.8122594808156673,0.09860318899154663,0.10632415115833282,0.10011350363492966,4.916040103221507e-05,365.66914319992065
36,0.16286434200234137,0.019068916373026486,0.8124492146647894,0.00862063245776181,0.019028180146303315,0.8122594852860158,0.098589688539505,0.10630448162555695,0.10008645802736282,4.444472097387448e-05,259.46963024139404
37,0.1626945934473322,0.019003370266336087,0.8126309147821023,0.008602815189918216,0.018963911010024065,0.8124466107441829,0.09860492497682571,0.10632793605327606,0.10007520765066147,3.996802493677458e-05,243.7936782836914
38,0.16262794359085653,0.018991077044763816,0.8127055112559062,0.008594276438592575,0.018953969467502947,0.8125231241377501,0.09859887510538101,0.10635645687580109,0.10007786750793457,3.574798039496593e-05,245.4118845462799
39,0.16251344544669757,0.01896427553236628,0.8128337030800489,0.00858667819859245,0.018928022525058343,0.8126520337966773,0.09860219806432724,0.10634196549654007,0.10010229051113129,3.180124193630004e-05,306.4834315776825
40,0.16260377056896685,0.019000683363992722,0.8127388141476191,0.008599677515807203,0.018958645072192526,0.8125473554317768,0.0986010730266571,0.10636282712221146,0.10012394189834595,2.8143385534380006e-05,267.0365595817566
41,0.16249104438779446,0.01896033568862969,0.8128583572231807,0.008586090210771474,0.01891691998148767,0.8126791546551081,0.09860912710428238,0.10637100040912628,0.10008341073989868,2.4788847077308593e-05,252.79339003562927
42,0.16264398676844743,0.019028532642942783,0.8127004684737096,0.008618565504618276,0.01898766734207479,0.8125143370949305,0.09860145300626755,0.10638470202684402,0.10011274367570877,2.1750865395832963e-05,253.29083895683289
43,0.16245768319528836,0.01898437065179818,0.8129074319050862,0.008599867580386882,0.01894256200444383,0.8127235806905306,0.09861379116773605,0.10638272762298584,0.10011860728263855,1.9041430015728164e-05,266.8738465309143
44,0.1623079687070388,0.018929982494312124,0.8130668291678795,0.008579102398541111,0.018889535626826378,0.8128927332277481,0.09861481934785843,0.10641523450613022,0.10009826719760895,1.6671233840616125e-05,307.54083609580994
45,0.1623281931504607,0.018939940467512666,0.8130462098007019,0.008586021437524603,0.01889648732388965,0.812872432401547,0.09859305620193481,0.10641607642173767,0.10009130835533142,1.4649630951960416e-05,271.5225930213928
46,0.16231155803856942,0.018942045960396243,0.8130706353829458,0.008600778790423647,0.018900800621710144,0.8128890434136757,0.09862262010574341,0.10644055157899857,0.10010596364736557,1.298459969278006e-05,307.1262378692627
47,0.1622561809965051,0.018925127543759745,0.8131283049400037,0.008584175055595831,0.018885611251999553,0.8129538234609824,0.0986238420009613,0.10641473531723022,0.10012483596801758,1.1682711180774572e-05,269.2286036014557
48,0.16221498659310432,0.018928309459275063,0.8131797501674065,0.008595291966608224,0.018887366779829162,0.8130069127449623,0.09862340986728668,0.10642109811306,0.10013291984796524,1.0749103375124612e-05,274.4754521846771
49,0.16214518449627435,0.01890320035879715,0.8132532871113374,0.00858226626430853,0.01885754906733592,0.8130841761827469,0.09861361235380173,0.10641413927078247,0.10010887682437897,1.0187460799314202e-05,248.953143119812
50,0.16195120592243395,0.018887188554239962,0.8134804177169617,0.008578547368345495,0.018843843936561966,0.8133070714771747,0.0986117273569107,0.10643082857131958,0.10011012852191925,1e-05,355.8579342365265
